1629462020.29811, Duration, 47
1629462020.3011, Score, 12, True
1629462055.63847, Duration, 24
1629462055.63996, Score, 12, True
1629462084.99164, Duration, 23
1629462084.99267, Score, 12, True
1630682863.77951, Duration, 2
1630682863.80318, Score, 0, False
1630750427.99909, Emotion Before, happy
1630753328.95986, Emotion After, happy
1630754627.17225, Emotion Before, happy
1630754638.43918, Emotion After, happy
1630754926.9747, Duration, 6
1630754926.97869, Score, 0, False
1630755329.8577, Duration, 5
1630755329.90757, Score, 0, False
